EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2015-01-13 17:00,2015-01-13 21:00,BUY,1235.29,1229.29,-6.2,SL
2015-01-13 18:00,2015-01-13 21:00,BUY,1237.43,1231.43,-6.2,SL
2015-01-13 19:00,2015-01-13 21:00,BUY,1236.76,1230.76,-6.2,SL
2015-01-13 20:00,2015-01-13 21:00,BUY,1233.64,1227.64,-6.2,SL
2015-01-13 21:00,2015-01-14 04:00,BUY,1233.68,1227.68,-6.2,SL
2015-01-14 01:00,2015-01-14 04:00,BUY,1232.92,1226.92,-6.2,SL
2015-01-14 02:00,2015-01-14 04:00,BUY,1232.66,1226.66,-6.2,SL
2015-01-13 22:00,2015-01-14 15:00,BUY,1230.25,1238.25,7.8,TP
2015-01-13 23:00,2015-01-14 15:00,BUY,1230.77,1238.77,7.8,TP
2015-01-14 03:00,2015-01-14 15:00,BUY,1229.94,1237.94,7.8,TP
2015-01-14 04:00,2015-01-14 15:00,BUY,1230.49,1238.49,7.8,TP
2015-01-14 05:00,2015-01-14 15:00,BUY,1227.66,1235.66,7.8,TP
2015-01-14 06:00,2015-01-14 15:00,BUY,1229.63,1237.63,7.8,TP
2015-01-14 07:00,2015-01-14 15:00,BUY,1227.46,1235.46,7.8,TP
2015-01-14 08:00,2015-01-14 15:00,BUY,1230.73,1238.73,7.8,TP
2015-01-14 09:00,2015-01-14 15:00,BUY,1229.59,1237.59,7.8,TP
2015-01-14 10:00,2015-01-14 15:00,BUY,1227.33,1235.33,7.8,TP
2015-01-14 11:00,2015-01-14 15:00,BUY,1227.73,1235.73,7.8,TP
2015-01-14 12:00,2015-01-14 15:00,BUY,1229.0,1237.0,7.8,TP
2015-01-14 13:00,2015-01-14 15:00,BUY,1227.95,1235.95,7.8,TP
2015-01-14 14:00,2015-01-14 15:00,BUY,1231.71,1239.71,7.8,TP
2015-01-14 15:00,2015-01-14 20:00,BUY,1239.53,1233.53,-6.2,SL
2015-01-14 16:00,2015-01-14 21:00,BUY,1236.83,1230.83,-6.2,SL
2015-01-14 17:00,2015-01-14 21:00,BUY,1238.34,1232.34,-6.2,SL
2015-01-14 18:00,2015-01-14 21:00,BUY,1238.32,1232.32,-6.2,SL
2015-01-14 19:00,2015-01-14 21:00,BUY,1238.53,1232.53,-6.2,SL
2015-01-14 20:00,2015-01-14 21:00,BUY,1234.02,1228.02,-6.2,SL
2015-01-14 21:00,2015-01-15 08:00,BUY,1232.84,1226.84,-6.2,SL
2015-01-14 22:00,2015-01-15 11:00,BUY,1227.92,1235.92,7.8,TP
2015-01-14 23:00,2015-01-15 11:00,BUY,1228.89,1236.89,7.8,TP
2015-01-15 01:00,2015-01-15 11:00,BUY,1230.83,1238.83,7.8,TP
2015-01-15 02:00,2015-01-15 11:00,BUY,1230.24,1238.24,7.8,TP
2015-01-15 03:00,2015-01-15 11:00,BUY,1228.6,1236.6,7.8,TP
2015-01-15 04:00,2015-01-15 11:00,BUY,1229.93,1237.93,7.8,TP
2015-01-15 05:00,2015-01-15 11:00,BUY,1230.51,1238.51,7.8,TP
2015-01-15 06:00,2015-01-15 11:00,BUY,1230.87,1238.87,7.8,TP
2015-01-15 07:00,2015-01-15 11:00,BUY,1229.37,1237.37,7.8,TP
2015-01-15 08:00,2015-01-15 11:00,BUY,1227.62,1235.62,7.8,TP
2015-01-19 16:00,2015-01-21 01:00,BUY,1275.52,1283.52,7.8,TP
2015-01-19 17:00,2015-01-21 01:00,BUY,1272.45,1280.45,7.8,TP
2015-01-19 18:00,2015-01-21 01:00,BUY,1276.04,1284.04,7.8,TP
2015-01-19 19:00,2015-01-21 01:00,BUY,1276.66,1284.66,7.8,TP
2015-01-21 01:00,2015-01-21 07:00,BUY,1291.91,1299.91,7.8,TP
2015-01-21 02:00,2015-01-21 07:00,BUY,1292.48,1300.48,7.8,TP
2015-01-21 03:00,2015-01-21 07:00,BUY,1293.44,1301.44,7.8,TP
2015-01-21 04:00,2015-01-21 15:00,BUY,1296.1,1304.1,7.8,TP
2015-01-21 05:00,2015-01-21 15:00,BUY,1296.06,1304.06,7.8,TP
2015-01-21 06:00,2015-01-21 16:00,BUY,1297.54,1291.54,-6.2,SL
2015-01-21 07:00,2015-01-21 16:00,BUY,1300.12,1294.12,-6.2,SL
2015-01-21 08:00,2015-01-21 16:00,BUY,1299.87,1293.87,-6.2,SL
2015-01-21 09:00,2015-01-21 16:00,BUY,1298.43,1292.43,-6.2,SL
2015-01-21 10:00,2015-01-21 16:00,BUY,1299.54,1293.54,-6.2,SL
2015-01-21 11:00,2015-01-21 16:00,BUY,1299.82,1293.82,-6.2,SL
2015-01-21 12:00,2015-01-21 16:00,BUY,1297.55,1291.55,-6.2,SL
2015-01-21 13:00,2015-01-21 16:00,BUY,1297.74,1291.74,-6.2,SL
2015-01-21 14:00,2015-01-21 16:00,BUY,1300.75,1294.75,-6.2,SL
2015-01-21 15:00,2015-01-21 16:00,BUY,1301.6,1295.6,-6.2,SL
2015-01-21 19:00,2015-01-22 08:00,BUY,1292.31,1286.31,-6.2,SL
2015-01-21 20:00,2015-01-22 08:00,BUY,1292.76,1286.76,-6.2,SL
2015-01-21 21:00,2015-01-22 08:00,BUY,1292.61,1286.61,-6.2,SL
2015-01-21 22:00,2015-01-22 08:00,BUY,1293.37,1287.37,-6.2,SL
2015-01-21 23:00,2015-01-22 08:00,BUY,1293.47,1287.47,-6.2,SL
2015-01-22 01:00,2015-01-22 08:00,BUY,1291.69,1285.69,-6.2,SL
2015-01-22 02:00,2015-01-22 08:00,BUY,1291.18,1285.18,-6.2,SL
2015-01-22 03:00,2015-01-22 08:00,BUY,1291.95,1285.95,-6.2,SL
2015-01-22 04:00,2015-01-22 08:00,BUY,1292.39,1286.39,-6.2,SL
2015-01-22 05:00,2015-01-22 08:00,BUY,1292.55,1286.55,-6.2,SL
2015-01-22 22:00,2015-01-23 06:00,BUY,1303.4,1297.4,-6.2,SL
2015-01-22 23:00,2015-01-23 07:00,BUY,1301.38,1295.38,-6.2,SL
2015-01-23 01:00,2015-01-23 07:00,BUY,1300.75,1294.75,-6.2,SL
2015-01-23 02:00,2015-01-23 07:00,BUY,1300.32,1294.32,-6.2,SL
2015-01-23 03:00,2015-01-23 07:00,BUY,1300.3,1294.3,-6.2,SL
2015-01-23 04:00,2015-01-23 07:00,BUY,1299.68,1293.68,-6.2,SL
2015-01-23 05:00,2015-01-23 17:00,BUY,1297.65,1291.65,-6.2,SL
2015-01-23 06:00,2015-01-23 17:00,BUY,1297.08,1291.08,-6.2,SL
2015-01-23 07:00,2015-01-23 17:00,BUY,1294.99,1288.99,-6.2,SL
2015-01-23 08:00,2015-01-23 17:00,BUY,1296.57,1290.57,-6.2,SL
2015-01-23 13:00,2015-01-23 17:00,BUY,1295.86,1289.86,-6.2,SL
2015-01-23 14:00,2015-01-23 17:00,BUY,1297.46,1291.46,-6.2,SL
2015-01-23 15:00,2015-01-23 17:00,BUY,1297.74,1291.74,-6.2,SL
2015-01-23 16:00,2015-01-23 17:00,BUY,1295.08,1289.08,-6.2,SL
2015-01-23 17:00,2015-01-26 02:00,BUY,1290.58,1298.58,7.8,TP
2015-01-23 18:00,2015-01-26 02:00,BUY,1290.47,1298.47,7.8,TP
2015-01-26 15:00,2015-01-26 17:00,BUY,1285.84,1279.84,-6.2,SL
2015-01-26 16:00,2015-01-27 02:00,BUY,1281.44,1275.44,-6.2,SL
2015-01-26 17:00,2015-01-27 02:00,BUY,1279.27,1273.27,-6.2,SL
2015-01-26 18:00,2015-01-27 02:00,BUY,1278.91,1272.91,-6.2,SL
