Year,Trades,Wins,Losses,Profit$,Equity$,WinRate%,Trades/Day
2015,1673,735,938,-82.6,17.4,43.9,9.9
2016,1845,873,972,783.0,800.4,47.3,10.98
2017,1462,547,915,-1406.4,-606.0,37.4,9.31
2018,1347,600,747,48.6,-557.4,44.5,8.58
2019,1438,652,786,212.4,-345.0,45.3,9.28
2020,2009,903,1106,186.2,-158.8,44.9,10.98
2021,1662,640,1022,-1344.4,-1503.2,38.5,9.95
2022,1902,944,958,1423.6,-79.6,49.6,10.93
2023,1722,728,994,-484.4,-564.0,42.3,10.19
2024,1952,896,1056,441.6,-122.4,45.9,11.03
2025,1897,822,1075,-253.4,-375.8,43.3,11.71
