EntryTime,ExitTime,Side,Entry,Exit,PL,Reason
2016-01-04 07:15,2016-01-04 09:45,BUY,1066.24,1070.24,3.8,TP
2016-01-11 17:30,2016-01-11 18:00,SELL,1097.3,1100.47,-3.3671,SL
2016-01-13 21:00,2016-01-14 09:15,BUY,1092.92,1089.57,-3.5458,SL
2016-01-19 13:15,2016-01-19 13:45,SELL,1086.99,1082.63,4.1602,TP
2016-01-19 20:45,2016-01-19 21:45,BUY,1089.95,1087.89,-2.2617,SL
2016-01-20 02:45,2016-01-20 05:45,BUY,1089.34,1093.34,3.8,TP
2016-01-21 20:45,2016-01-22 09:00,BUY,1100.69,1097.35,-3.5444,SL
2016-01-22 20:30,2016-01-22 22:30,SELL,1095.54,1097.72,-2.3754,SL
2016-02-10 16:00,2016-02-10 17:30,BUY,1189.24,1184.91,-4.5314,SL
2016-02-15 04:00,2016-02-15 06:30,SELL,1223.58,1215.63,7.7451,TP
2016-02-17 18:00,2016-02-17 19:15,BUY,1211.91,1207.9,-4.2101,SL
2016-02-18 01:15,2016-02-18 02:45,SELL,1206.61,1209.31,-2.9043,SL
2016-02-22 05:45,2016-02-22 09:45,SELL,1216.39,1210.61,5.5752,TP
2016-02-23 05:30,2016-02-23 07:30,BUY,1221.04,1217.57,-3.6709,SL
2016-02-25 03:00,2016-02-25 16:00,BUY,1234.05,1229.87,-4.3823,SL
2016-03-02 16:30,2016-03-03 16:30,BUY,1237.44,1247.27,9.6257,TP
2016-03-08 20:15,2016-03-09 03:00,SELL,1262.37,1254.88,7.2893,TP
2016-03-16 20:30,2016-03-17 10:00,BUY,1255.7,1265.7,9.8,TP
2016-03-18 13:30,2016-03-18 19:45,SELL,1252.07,1254.36,-2.4919,SL
2016-03-22 09:30,2016-03-22 09:45,BUY,1253.61,1258.98,5.1665,TP
2016-03-30 19:00,2016-03-31 10:15,SELL,1227.38,1231.45,-4.2711,SL
2016-04-01 08:30,2016-04-01 13:00,BUY,1232.63,1230.63,-2.2,SL
2016-04-05 05:15,2016-04-05 11:00,BUY,1224.8,1230.06,5.0623,TP
2016-04-13 08:00,2016-04-13 09:45,SELL,1248.16,1250.16,-2.2,SL
2016-04-18 01:15,2016-04-18 02:00,BUY,1238.47,1236.28,-2.3902,SL
2016-04-18 19:15,2016-04-19 06:45,SELL,1232.33,1235.11,-2.9765,SL
2016-04-26 17:15,2016-04-27 15:15,BUY,1240.28,1248.8,8.3249,TP
2016-05-09 09:15,2016-05-09 12:30,SELL,1281.77,1276.86,4.7101,TP
2016-05-12 16:45,2016-05-12 17:45,BUY,1278.88,1274.42,-4.6644,SL
2016-05-13 08:45,2016-05-13 15:15,BUY,1274.78,1272.48,-2.4977,SL
2016-05-13 20:45,2016-05-16 05:15,BUY,1273.06,1279.19,5.9339,TP
2016-05-17 10:45,2016-05-17 11:30,SELL,1273.67,1269.15,4.3195,TP
2016-05-17 17:30,2016-05-17 19:30,BUY,1280.99,1276.53,-4.6635,SL
2016-06-01 17:45,2016-06-02 04:45,SELL,1211.01,1214.23,-3.4215,SL
2016-06-15 15:30,2016-06-15 21:00,BUY,1283.42,1289.28,5.6601,TP
2016-06-16 21:45,2016-06-17 16:45,SELL,1286.15,1291.15,-5.2,SL
2016-06-28 11:15,2016-06-28 13:45,SELL,1312.58,1307.22,5.1581,TP
2016-06-29 03:45,2016-06-29 05:00,BUY,1315.83,1320.45,4.4234,TP
2016-06-30 02:15,2016-06-30 04:15,SELL,1314.73,1316.77,-2.2411,SL
