Year,Trades,Wins,Losses,Profit$,CumEquity$,WinRate%,Trades/Day,Type
2015,67,21,46,-19.22,80.78,31.3,0.18,IS
2016,74,27,47,9.36,90.14,36.5,0.2,IS
2017,78,32,46,34.78,124.92,41.0,0.21,IS
2018,88,33,55,5.41,130.33,37.5,0.24,IS
2019,78,28,50,10.45,140.78,35.9,0.21,IS
2020,78,30,48,19.51,160.28,38.5,0.21,IS
2021,90,36,54,28.12,188.41,40.0,0.25,IS
2022,93,33,60,-0.34,188.07,35.5,0.25,IS
2023,80,29,51,20.95,209.01,36.2,0.22,OOS
2024,83,23,60,-96.6,112.41,27.7,0.23,OOS
2025,84,27,57,-28.17,84.24,32.1,0.23,OOS
