Year,Trades,Wins,Losses,Profit$,CumEquity$,WinRate%,Trades/Day,Type
2015,22,9,13,7.67,107.67,40.9,0.06,IS
2016,14,7,7,25.18,132.85,50.0,0.038,IS
2017,18,9,9,26.26,159.11,50.0,0.049,IS
2018,7,2,5,-3.62,155.49,28.6,0.019,IS
2019,18,7,11,13.19,168.68,38.9,0.049,IS
2020,9,4,5,6.63,175.31,44.4,0.025,IS
2021,15,7,8,14.51,189.82,46.7,0.041,IS
2022,14,6,8,16.63,206.45,42.9,0.038,IS
2023,16,6,10,13.43,219.88,37.5,0.044,OOS
2024,10,5,5,20.29,240.17,50.0,0.027,OOS
2025,15,4,11,-18.0,222.17,26.7,0.041,OOS
